model,outcome,predictor,beta,ci_low,ci_high,se_envelope,envelope_low,envelope_high,se_used,psd_adjusted,se_block2,se_block1,se_year,se_two_way,two_way_negative_variance,n,pixels,years,blocks2,within_r2,detrend,min_years,fe_iterations
gleam_main,E_q25_advance,A,0.0566233456916355,0.0433354360259626,0.0699112553573085,0.0078697248258848,0.040343579538665,0.072903111844606,0.0064234456193943,False,0.0043395258351984,0.0038244604620797,0.0065651416101097,0.0064234456193943,False,43797,2021,24,127,0.0274231307013004,False,18,14
gleam_main,E_q50_advance,A,0.0486284455658401,0.0352588192298499,0.0619980719018303,0.0075729664320649,0.032962570922701,0.0642943202089792,0.0064629478888398,False,0.0054865068307639,0.0041050876898468,0.0052199677563336,0.0064629478888398,False,43797,2021,24,127,0.0274392930887212,False,18,14
gleam_main,E_q75_advance,A,0.0268866753923664,0.0126098551186174,0.0411634956661154,0.0077197371319201,0.0109171824239853,0.0428561683607476,0.0069014902233419,False,0.0054576506161139,0.0037447124519639,0.0054597061402952,0.0069014902233419,False,43797,2021,24,127,0.0115556341119673,False,18,14
gleam_main,E_q90_advance,A,0.0105707103744324,0.0017067192289022,0.0194347015199626,0.0050668002596311,8.923545687318686e-05,0.0210521852919917,0.0042849000728228,False,0.0034178272510876,0.0026354330196738,0.0037404440582264,0.0042849000728228,False,43797,2021,24,127,0.002403906429644,False,18,14
gleam_main,E_q10_null_advance,A,0.1513326841619336,0.1369180642937002,0.165747304030167,0.0073979630991872,0.1360288314952006,0.1666365368286666,0.0069681032741389,False,0.0065395243286561,0.0043110337338066,0.0034589708833482,0.0069681032741389,False,43797,2021,24,127,0.6934946240424384,False,18,14
gleam_main,E_q25_null_advance,A,0.3214907322978654,0.3025695039189096,0.3404119606768213,0.0095534954442306,0.301727821241054,0.3412536433546769,0.0091466215983045,False,0.0088282686094183,0.0056068659845422,0.0036511571539572,0.0091466215983045,False,43797,2021,24,127,0.8951892669301262,False,18,14
gleam_main,E_q50_null_advance,A,0.4588867371856691,0.4488310780862262,0.4689423962851119,0.0051087911311181,0.4483183975322402,0.469455076839098,0.0048609586471904,False,0.0048147857304235,0.0031904691179174,0.0017080940230271,0.0048609586471904,False,43797,2021,24,127,0.9738700611453146,False,18,14
gleam_main,E_q75_null_advance,A,0.4248617563381673,0.4145922252061161,0.4351312874702185,0.0051723565204675,0.4141619216583014,0.4355615910180331,0.0049643455158202,False,0.0049743050630922,0.0033382418282243,0.0014175898963093,0.0049643455158202,False,43797,2021,24,127,0.973105819845776,False,18,14
gleam_main,E_q90_null_advance,A,0.2705669613335854,0.2597998246533187,0.281334098013852,0.0054454524190747,0.2593021847446916,0.2818317379224792,0.0052048906624453,False,0.0051584872173893,0.0034037655512842,0.0017444086896246,0.0052048906624453,False,43797,2021,24,127,0.935179374750806,False,18,14
gleam_main,E_q10_gap,A,0.1206286068789259,0.100601664712329,0.1406555490455227,0.0109334781466052,0.0980109841026005,0.1432462296552513,0.0096811294753315,False,0.0065286013099036,0.0048915253861306,0.0087703083935868,0.0096811294753315,False,43797,2021,24,127,0.1160681555130248,False,18,14
gleam_main,E_q25_gap,A,0.2648673866062296,0.2443206083582333,0.285414164854226,0.011379214662581,0.2413276875938894,0.2884070856185699,0.0099324209789527,False,0.0088454858631466,0.0063545286870921,0.0071584849082729,0.0099324209789527,False,43797,2021,24,127,0.3647150132657861,False,18,14
gleam_main,E_q50_gap,A,0.4102582916198271,0.3976475246650832,0.4228690585745711,0.0074146916697925,0.3949198332682,0.4255967499714542,0.0060961112613456,False,0.0054800571913957,0.0042408514835175,0.0049946597218551,0.0060961112613456,False,43797,2021,24,127,0.6587704809213359,False,18,14
gleam_main,E_q75_gap,A,0.3979750809458002,0.3837251219436042,0.4122250399479962,0.0078012098963989,0.3818370487231382,0.4141131131684622,0.0068885053429936,False,0.0054191109692921,0.0039389756104,0.0056117833306508,0.0068885053429936,False,43797,2021,24,127,0.7097572010473654,False,18,14
gleam_main,E_q90_gap,A,0.2599962509591535,0.2492935876328978,0.2706989142854091,0.0060215031697927,0.2475398226007992,0.2724526793175078,0.005173723903052,False,0.0043149854037812,0.0034841125820612,0.0041999287361786,0.005173723903052,False,43797,2021,24,127,0.5721978353586458,False,18,14
gleam_main,Et_I,A,0.9986493386441812,0.9010761975298868,1.0962224797584756,0.0516258542055414,0.8918531224475037,1.1054455548408588,0.0471673710636575,False,0.0383953126956942,0.0274659726600352,0.0345112849000393,0.0471673710636575,False,43797,2021,24,127,0.3140456492511164,False,18,14
gleam_main,Et_K,A,0.7009706480222603,0.6316913086737639,0.7702499873707567,0.0354451360770451,0.627646797524142,0.7742944985203786,0.0334899980545656,False,0.0310014083754621,0.0188676722496188,0.017183432435287,0.0334899980545656,False,43797,2021,24,127,0.8297514232950836,False,18,14
gleam_main,Et_R,A,0.2976786906219203,0.2251281311272044,0.3702292501166363,0.0397364432382163,0.2154775949061995,0.3798797863376412,0.0350713231272812,False,0.0238312328131035,0.0183404738532551,0.0317971266599931,0.0350713231272812,False,43797,2021,24,127,0.0414148985378084,False,18,14
gleam_main,Et_K_loo,A,0.6880280965112857,0.6185070763368731,0.7575491166856984,0.0355912737618699,0.6144019371792856,0.7616542558432858,0.0336068278405578,False,0.0310571113072775,0.0188129876523221,0.0173837454318608,0.0336068278405578,False,43797,2021,24,127,0.8205283864708256,False,18,14
gleam_main,Et_R_loo,A,0.3106212421328984,0.2349163105128496,0.3863261737529471,0.0414641146730926,0.224846185755117,0.3963962985106797,0.0365961632503859,False,0.0248673733432688,0.0191378857339707,0.0331796104351733,0.0365961632503859,False,43797,2021,24,127,0.0414148984558607,False,18,14
